종목코드,종목명,종가,대비,등락률,순자산가치(NAV),시가,고가,저가,거래량,거래대금,시가총액,순자산총액,상장좌수,기초지수_지수명,기초지수_종가,기초지수_대비,기초지수_등락률
"0021C0","ACE 장기자산배분액티브","12845","-155","-1.19","12892.67","13075","13075","12780","9828","126189970","12845000000","0","1000000","Bloomberg Multi Asset Target-date 2080 KRW Index","4096.51","0.00","0.00"
"356540","ACE 종합채권(AA-이상)액티브","104650","-335","-0.32","104648.03","104865","104925","104650","8372","876916270","984547200000","0","9408000","KIS 종합채권 AA-이상 총수익 지수(Total return Index)","118.87","0.00","0.00"
"447430","ACE 주주환원가치주액티브","15000","10","0.07","15034.44","15055","15055","14910","56416","844330761","76500000000","0","5100000","FnGuide 올라운드 가치주 지수","1053.66","7.73","0.74"
"416090","ACE 중국과창판STAR50","12320","-80","-0.65","12384.86","12400","12400","12000","30429","373811975","16016000000","0","1300000","STAR 50 Index(Price Return)","1507.01","-7.06","-0.47"
"168580","ACE 중국본토CSI300","36145","-105","-0.29","36328.45","36255","36400","36030","7636","276430739","133736500000","0","3700000","CSI 300 Index","0.00","-4731.87","-100.00"
"219900","ACE 중국본토CSI300레버리지(합성)","4915","-80","-1.60","5041.01","4995","5010","4897","16920","83593010","7864000000","0","1600000","CSI 300 Index","0.00","-4731.87","-100.00"
"272910","ACE 중장기국공채액티브","106525","-140","-0.13","106479.33","106645","106675","106525","444","47349090","63808475000","0","599000","KIS 종합채권국공채1-10Y지수","155.24","0.00","0.00"
"0087F0","ACE 차이나AI빅테크TOP2+액티브","11715","-145","-1.22","11769.12","11860","11860","11695","16584","195173780","14643750000","0","1250000","Solactive China AI Big Tech TOP2+ Index (Price Return)","1950.10","0.00","0.00"
"371870","ACE 차이나항셍테크","9090","-60","-0.66","9102.46","8990","9150","8990","11114","100974087","17271000000","0","1900000","Hang Seng TECH Index","5749.73","-72.45","-1.24"
"380340","ACE 코리아AI테크핵심산업","16755","-10","-0.06","16738.03","16765","16770","16570","1665","27748370","8377500000","0","500000","FnGuide 코리아AI테크핵심산업지수 (Price Return)","3343.39","-10.02","-0.30"
"496120","ACE 코리아밸류업","21335","385","1.84","21324.59","20915","21365","20900","3755","79244370","18134750000","0","850000","코리아 밸류업 지수","2135.98","43.53","2.08"
"354500","ACE 코스닥150","16260","215","1.34","16302.23","15950","16265","15900","62609","1007673497","50406000000","0","3100000","코스닥 150","1621.65","15.80","0.98"
"305050","ACE 코스피","51255","905","1.80","51172.50","50540","51265","50350","8594","435550277","23064750000","0","450000","코스피","4904.66","63.92","1.32"
"457480","ACE 테슬라밸류체인액티브","22100","-290","-1.30","22229.06","22055","22195","21975","1291864","28507152541","1331525000000","0","60250000","Bloomberg EV Supporters Plus Tesla Price Return Index","10676.30","0.00","0.00"
"469170","ACE 포스코그룹포커스","6930","310","4.68","6938.38","6695","6985","6650","2793347","19022516634","105682500000","0","15250000","FnGuide 포스코그룹포커스 지수(시장가격)","3460.14","143.04","4.31"
"495710","BNK 26-06 특수채(AAA이상)액티브","51240","0","0.00","51233.06","51240","51240","51240","1","51240","107911440000","0","2106000","KAP 26-06 특수채 총수익 지수(AAA이상)","107.61","0.00","0.00"
"466810","BNK 2차전지양극재","6195","250","4.21","6185.59","5925","6195","5900","100107","602803069","11151000000","0","1800000","iSelect 2차전지양극재 지수","4809.10","199.45","4.33"
"457930","BNK 미래전략기술액티브","24205","680","2.89","24268.29","23680","24325","23680","3022","72679355","14523000000","0","600000","iSelect 미래전략기술 지수 (PR)","5524.64","185.25","3.47"
"487750","BNK 온디바이스AI","16760","230","1.39","16740.27","16535","17355","16375","11248","186484685","37710000000","0","2250000","FnGuide 온디바이스AI 지수","4520.90","65.24","1.46"
"445690","BNK 주주가치액티브","25300","490","1.98","25224.92","24890","25300","24700","83365","2087903130","25300000000","0","1000000","FnGuide 주주가치 지수","3302.73","74.86","2.32"
"0120J0","BNK 카카오그룹포커스","9815","-80","-0.81","9810.58","9855","9855","9745","24963","244270047","8833500000","0","900000","FnGuide 카카오그룹 포커스 지수","461.51","-2.46","-0.53"
"486240","DAISHIN343 AI반도체&인프라액티브","16890","140","0.84","16926.35","16750","16940","16715","13389","224753530","50670000000","0","3000000","FnGuide AI반도체&인프라 지수","6283.05","69.28","1.11"
"434960","DAISHIN343 K200","72470","945","1.32","72510.92","71280","72655","71220","10952","789704775","50729000000","0","700000","코스피 200","713.96","9.32","1.32"
"0098Z0","FOCUS 200","61465","975","1.61","61296.15","60490","61615","60205","2100","128463110","43025500000","0","700000","코스피 200","713.96","9.32","1.32"
"448570","FOCUS AI코리아액티브","23350","440","1.92","23323.63","22970","23355","22950","9373","218049380","47867500000","0","2050000","코스피","4904.66","63.92","1.32"
"285690","FOCUS ESG리더스","17295","165","0.96","17286.16","17130","17295","17015","744","12667945","10377000000","0","600000","KRX ESG Leaders 150","2651.50","32.03","1.22"
"0073X0","FOCUS 알리바바미국채커버드콜혼합","11600","-165","-1.40","11619.72","11705","11705","11525","11873","137321382","9860000000","0","850000","KEDI 알리바바미국채커버드콜혼합지수(TR)","1230.07","0.00","0.00"
"293180","HANARO 200","71985","975","1.37","72060.17","70925","72285","70760","268860","19299492640","637067250000","0","8850000","코스피 200","713.96","9.32","1.32"
"407310","HANARO 200 TOP10","15070","650","4.51","15030.28","14495","15070","14495","19777","293590530","20344500000","0","1350000","코스피 200 Top 10 지수","2325.29","85.77","3.83"
"332930","HANARO 200TR","93515","1280","1.39","93626.46","92115","93950","91990","23364","2183107360","116893750000","0","1250000","코스피 200 TR","939.69","12.27","1.32"
"304780","HANARO 200선물레버리지","73660","1820","2.53","73706.45","71375","74195","71335","580","42435470","88392000000","0","1200000","코스피 200 선물지수","3521.96","45.78","1.32"
"306520","HANARO 200선물인버스","4770","-95","-1.95","4772.70","4850","4850","4760","4680","22335025","1669500000","0","350000","코스피 200 선물지수","3521.96","45.78","1.32"
"0123S0","HANARO 26-12 은행채(AA+이상)액티브","10030","0","0.00","10034.83","10030","10040","10030","245","2457854","61684500000","0","6150000","KIS 은행채2612만기형 지수","108.72","0.00","0.00"
"0091M0","HANARO 27-06 회사채(AA-이상)액티브","10040","10","0.10","10041.64","10040","10040","10040","2","20080","102910000000","0","10250000","KIS 회사채(AA-이상)2706만기형지수(총수익)","108.14","0.00","0.00"
"448490","HANARO 32-10 국고채액티브","54850","-285","-0.52","54851.25","55010","55120","54805","2405","131983977","24792200000","0","452000","KAP 32-10 국고채 10년 총수익지수","110.34","0.00","0.00"
"454320","HANARO CAPEX설비투자iSelect","38010","690","1.85","37948.23","37720","38015","37520","30436","1150719465","98826000000","0","2600000","iSelect CAPEX 설비투자 지수(시장가격)","5448.12","68.10","1.27"
