표준코드,단축코드,한글 종목명,한글 종목약명,영문 종목명,상장일,시장구분,증권구분,소속부,주식종류,액면가,상장주식수,,,,,,corp_code
KR7077970002,77970,STX엔진보통주,STX엔진,"STXEngineCo.,Ltd",2004-05-10,KOSPI,주권,,보통주,2500,40148063,,77970,77970,77970,077970,077970
KR7084870005,84870,TBH글로벌보통주,TBH글로벌,TBH GLOBAL,2005-12-19,KOSPI,주권,,보통주,500,20856819,,84870,84870,84870,084870,084870
KR7002710002,2710,TCC스틸보통주,TCC스틸,TCC STEEL,1984-12-21,KOSPI,주권,,보통주,1000,26213697,,2710,2710,2710,002710,002710
KR7024070005,24070,WISCOM보통주,WISCOM,WISCOM,1996-11-22,KOSPI,주권,,보통주,500,15326438,,24070,24070,24070,024070,024070
KR7000500009,500,가온전선보통주,가온전선,GAONCABLE,1987-06-08,KOSPI,주권,,보통주,5000,16543115,,500,500,500,000500,000500
KR7000860007,860,강남제비스코보통주,강남제비스코,KANGNAM JEVISCO,1975-11-12,KOSPI,주권,,보통주,500,13000000,,860,860,860,000860,000860
KR7035250000,35250,강원랜드보통주,강원랜드,"Kangwon Land, Inc.",2003-09-04,KOSPI,주권,,보통주,500,213940500,,35250,35250,35250,035250,035250
KR7011420007,11420,갤럭시아에스엠보통주,갤럭시아에스엠,GALAXIA SM,1989-11-14,KOSPI,주권,,보통주,500,27549644,,11420,11420,11420,011420,011420
KR7002100006,2100,경농보통주,경농,Kyungnong,1977-06-30,KOSPI,주권,,보통주,500,19522575,,2100,2100,2100,002100,002100
KR7009450008,9450,경동나비엔보통주,경동나비엔,KYUNGDONGNAVIEN,1993-08-31,KOSPI,주권,,보통주,1000,14568592,,9450,9450,9450,009450,009450
KR7267290005,267290,경동도시가스보통주,경동도시가스,KYUNGDONG CITY GAS,2017-05-12,KOSPI,주권,,보통주,2500,5895406,,267290,267290,267290,267290,267290
KR7012320008,12320,경동인베스트보통주,경동인베스트,KYUNGDONG INVEST,1997-03-07,KOSPI,주권,,보통주,5000,2365023,,12320,12320,12320,012320,012320
